cargoPK,cargoNome,cargoJornadaTrabalho,cargoNivel
393,OPERADOR DE CENTRO DE PROCESSAMENTO DE DADOS,40H,SENIOR
394,OPERADOR DE CENTRO DE PROCESSAMENTO DE DADOS,44H,JUNIOR
395,OPERADOR DE CENTRO DE PROCESSAMENTO DE DADOS,44H,PLENO
396,OPERADOR DE CENTRO DE PROCESSAMENTO DE DADOS,44H,SENIOR
397,OPERADOR DE CENTRO DE PROCESSAMENTO DE DADOS,20H,JUNIOR
398,OPERADOR DE CENTRO DE PROCESSAMENTO DE DADOS,20H,PLENO
399,OPERADOR DE CENTRO DE PROCESSAMENTO DE DADOS,20H,SENIOR
400,OPERADOR DE CENTRO DE PROCESSAMENTO DE DADOS,40H,JUNIOR
401,OPERADOR DE CENTRO DE PROCESSAMENTO DE DADOS,40H,PLENO
402,OPERADOR DE CENTRO DE PROCESSAMENTO DE DADOS,40H,SENIOR
403,OPERADOR DE CENTRO DE PROCESSAMENTO DE DADOS,44H,JUNIOR
404,OPERADOR DE CENTRO DE PROCESSAMENTO DE DADOS,44H,PLENO
405,OPERADOR DE CENTRO DE PROCESSAMENTO DE DADOS,44H,SENIOR
406,ANALISTA DE REDE,20H,JUNIOR
407,ANALISTA DE REDE,20H,PLENO
408,ANALISTA DE REDE,20H,SENIOR
409,ANALISTA DE REDE,40H,JUNIOR
410,ANALISTA DE REDE,40H,PLENO
411,ANALISTA DE REDE,40H,SENIOR
412,ANALISTA DE REDE,44H,JUNIOR
413,ANALISTA DE REDE,44H,PLENO
414,ANALISTA DE REDE,44H,SENIOR
415,ANALISTA DE REDE,20H,JUNIOR
416,ANALISTA DE REDE,20H,PLENO
417,ANALISTA DE REDE,20H,SENIOR
418,ANALISTA DE REDE,40H,JUNIOR
419,ANALISTA DE REDE,40H,PLENO
420,ANALISTA DE REDE,40H,SENIOR
421,ANALISTA DE REDE,44H,JUNIOR
422,ANALISTA DE REDE,44H,PLENO
423,ANALISTA DE REDE,44H,SENIOR
424,ANALISTA DE REDE,20H,JUNIOR
425,ANALISTA DE REDE,20H,PLENO
426,ANALISTA DE REDE,20H,SENIOR
427,ANALISTA DE REDE,40H,JUNIOR
428,ANALISTA DE REDE,40H,PLENO
429,ANALISTA DE REDE,40H,SENIOR
430,ANALISTA DE REDE,44H,JUNIOR
431,ANALISTA DE REDE,44H,PLENO
432,ANALISTA DE REDE,44H,SENIOR
433,DESIGNER DE GAMES,20H,JUNIOR
434,DESIGNER DE GAMES,20H,PLENO
435,DESIGNER DE GAMES,20H,SENIOR
436,DESIGNER DE GAMES,40H,JUNIOR
437,DESIGNER DE GAMES,40H,PLENO
438,DESIGNER DE GAMES,40H,SENIOR
439,DESIGNER DE GAMES,44H,JUNIOR
440,DESIGNER DE GAMES,44H,PLENO
441,DESIGNER DE GAMES,44H,SENIOR
442,DESIGNER DE GAMES,20H,JUNIOR
443,DESIGNER DE GAMES,20H,PLENO
444,DESIGNER DE GAMES,20H,SENIOR
445,DESIGNER DE GAMES,40H,JUNIOR
446,DESIGNER DE GAMES,40H,PLENO
447,DESIGNER DE GAMES,40H,SENIOR
448,DESIGNER DE GAMES,44H,JUNIOR
449,DESIGNER DE GAMES,44H,PLENO
450,DESIGNER DE GAMES,44H,SENIOR
451,DESIGNER DE GAMES,20H,JUNIOR
452,DESIGNER DE GAMES,20H,PLENO
453,DESIGNER DE GAMES,20H,SENIOR
454,DESIGNER DE GAMES,40H,JUNIOR
455,DESIGNER DE GAMES,40H,PLENO
456,DESIGNER DE GAMES,40H,SENIOR
457,DESIGNER DE GAMES,44H,JUNIOR
458,DESIGNER DE GAMES,44H,PLENO
459,DESIGNER DE GAMES,44H,SENIOR
460,ANALISTA DE SISTEMAS PARA INTERNET,20H,JUNIOR
461,ANALISTA DE SISTEMAS PARA INTERNET,20H,PLENO
462,ANALISTA DE SISTEMAS PARA INTERNET,20H,SENIOR
463,ANALISTA DE SISTEMAS PARA INTERNET,40H,JUNIOR
464,ANALISTA DE SISTEMAS PARA INTERNET,40H,PLENO
465,ANALISTA DE SISTEMAS PARA INTERNET,40H,SENIOR
466,ANALISTA DE SISTEMAS PARA INTERNET,44H,JUNIOR
467,ANALISTA DE SISTEMAS PARA INTERNET,44H,PLENO
468,ANALISTA DE SISTEMAS PARA INTERNET,44H,SENIOR
469,ANALISTA DE SISTEMAS PARA INTERNET,20H,JUNIOR
470,ANALISTA DE SISTEMAS PARA INTERNET,20H,PLENO
471,ANALISTA DE SISTEMAS PARA INTERNET,20H,SENIOR
472,ANALISTA DE SISTEMAS PARA INTERNET,40H,JUNIOR
473,ANALISTA DE SISTEMAS PARA INTERNET,40H,PLENO
474,ANALISTA DE SISTEMAS PARA INTERNET,40H,SENIOR
475,ANALISTA DE SISTEMAS PARA INTERNET,44H,JUNIOR
476,ANALISTA DE SISTEMAS PARA INTERNET,44H,PLENO
477,ANALISTA DE SISTEMAS PARA INTERNET,44H,SENIOR
478,ANALISTA DE SISTEMAS PARA INTERNET,20H,JUNIOR
479,ANALISTA DE SISTEMAS PARA INTERNET,20H,PLENO
480,ANALISTA DE SISTEMAS PARA INTERNET,20H,SENIOR
481,ANALISTA DE SISTEMAS PARA INTERNET,40H,JUNIOR
482,ANALISTA DE SISTEMAS PARA INTERNET,40H,PLENO
483,ANALISTA DE SISTEMAS PARA INTERNET,40H,SENIOR
484,ANALISTA DE SISTEMAS PARA INTERNET,44H,JUNIOR
485,ANALISTA DE SISTEMAS PARA INTERNET,44H,PLENO
486,ANALISTA DE SISTEMAS PARA INTERNET,44H,SENIOR
487,DESENVOLVEDOR MOBILE,20H,JUNIOR
488,DESENVOLVEDOR MOBILE,20H,PLENO
489,DESENVOLVEDOR MOBILE,20H,SENIOR
490,DESENVOLVEDOR MOBILE,40H,JUNIOR
491,DESENVOLVEDOR MOBILE,40H,PLENO
492,DESENVOLVEDOR MOBILE,40H,SENIOR
493,DESENVOLVEDOR MOBILE,44H,JUNIOR
494,DESENVOLVEDOR MOBILE,44H,PLENO
495,DESENVOLVEDOR MOBILE,44H,SENIOR
496,DESENVOLVEDOR MOBILE,20H,JUNIOR
497,DESENVOLVEDOR MOBILE,20H,PLENO
498,DESENVOLVEDOR MOBILE,20H,SENIOR
499,DESENVOLVEDOR MOBILE,40H,JUNIOR
500,DESENVOLVEDOR MOBILE,40H,PLENO
501,DESENVOLVEDOR MOBILE,40H,SENIOR
502,DESENVOLVEDOR MOBILE,44H,JUNIOR
503,DESENVOLVEDOR MOBILE,44H,PLENO
504,DESENVOLVEDOR MOBILE,44H,SENIOR
505,DESENVOLVEDOR MOBILE,20H,JUNIOR
506,DESENVOLVEDOR MOBILE,20H,PLENO
507,DESENVOLVEDOR MOBILE,20H,SENIOR
508,DESENVOLVEDOR MOBILE,40H,JUNIOR
509,DESENVOLVEDOR MOBILE,40H,PLENO
510,DESENVOLVEDOR MOBILE,40H,SENIOR
511,DESENVOLVEDOR MOBILE,44H,JUNIOR
512,DESENVOLVEDOR MOBILE,44H,PLENO
513,DESENVOLVEDOR MOBILE,44H,SENIOR
514,CIENTISTA DE DADOS (DATA SCIENTIST),20H,JUNIOR
515,CIENTISTA DE DADOS (DATA SCIENTIST),20H,PLENO
516,CIENTISTA DE DADOS (DATA SCIENTIST),20H,SENIOR
517,CIENTISTA DE DADOS (DATA SCIENTIST),40H,JUNIOR
518,CIENTISTA DE DADOS (DATA SCIENTIST),40H,PLENO
519,CIENTISTA DE DADOS (DATA SCIENTIST),40H,SENIOR
520,CIENTISTA DE DADOS (DATA SCIENTIST),44H,JUNIOR
521,CIENTISTA DE DADOS (DATA SCIENTIST),44H,PLENO
522,CIENTISTA DE DADOS (DATA SCIENTIST),44H,SENIOR
523,CIENTISTA DE DADOS (DATA SCIENTIST),20H,JUNIOR
524,CIENTISTA DE DADOS (DATA SCIENTIST),20H,PLENO
525,CIENTISTA DE DADOS (DATA SCIENTIST),20H,SENIOR
526,CIENTISTA DE DADOS (DATA SCIENTIST),40H,JUNIOR
527,CIENTISTA DE DADOS (DATA SCIENTIST),40H,PLENO
528,CIENTISTA DE DADOS (DATA SCIENTIST),40H,SENIOR
529,CIENTISTA DE DADOS (DATA SCIENTIST),44H,JUNIOR
530,CIENTISTA DE DADOS (DATA SCIENTIST),44H,PLENO
531,CIENTISTA DE DADOS (DATA SCIENTIST),44H,SENIOR
532,CIENTISTA DE DADOS (DATA SCIENTIST),20H,JUNIOR
533,CIENTISTA DE DADOS (DATA SCIENTIST),20H,PLENO
534,CIENTISTA DE DADOS (DATA SCIENTIST),20H,SENIOR
535,CIENTISTA DE DADOS (DATA SCIENTIST),40H,JUNIOR
536,CIENTISTA DE DADOS (DATA SCIENTIST),40H,PLENO
537,CIENTISTA DE DADOS (DATA SCIENTIST),40H,SENIOR
538,CIENTISTA DE DADOS (DATA SCIENTIST),44H,JUNIOR
539,CIENTISTA DE DADOS (DATA SCIENTIST),44H,PLENO
540,CIENTISTA DE DADOS (DATA SCIENTIST),44H,SENIOR
